Title,❔ Notebook,📖 Wiki,👩‍👩‍👦‍👦 People,🖌️ Artifacts,Created time,Channel,Finished,Folder,Link,Note,Published Date,Status,Tags,Total Videos,URL,Video Duration
Should You Put an Inductor Above Ground? | PCB Layout,,,,,"January 31, 2023 1:10 PM",Altium Academy,No,altium,,,"January 23, 2023 10:19 AM (GMT+1)",,,,https://youtu.be/6ind9vopKZs,
Electronics Tutorial - Common Power Factor Correction methods,,,,,"February 6, 2023 12:49 PM",FesZ Electronics,No,,,,"February 6, 2023 9:49 AM (GMT+1)",,,,https://youtu.be/YiBuFQD1TYw,
Power Factor Correction | Active Power Factor Correction | PFC Control | Boost PFC,,,,,"February 8, 2023 2:35 PM",Foolish Engineer,No,,,,"February 7, 2023 10:54 AM (GMT+1)",,,,https://youtu.be/KVZVGHwp7B0,
351 3500 Watt / 3.5 KW PFC Power Factor Correction Reference Design Circuit - Explained,,,,,"February 9, 2023 9:44 AM",Haseeb Electronics,No,,,,"February 8, 2023 10:53 AM (GMT+1)",,,,https://youtu.be/RooiuRfN64o,
EEVblog #273 - Power Factor Correction with the MC34262,,,,,"February 9, 2023 9:44 AM",EEVblog,No,,,,"February 6, 2023 10:24 AM (GMT+1)",,,,https://youtu.be/MBQn6xpto6M,
"""You must Unlearn what You have Learned""",,,,,"August 20, 2023 1:12 PM",Altium Academy,No,,,,"January 31, 2023 11:04 AM (GMT+1)",,,,https://youtu.be/y4REmZlE7Jg,
The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU,,,,,"August 21, 2023 9:43 AM",,No,,https://www.youtube.com/watch?v=5MgBikgcWnY&type=snipo,,,To Learn,TEDx Talks,1,,00:19:26
Simplify your digital life—for good | SUSTAINABLE steps for more minimalist & intentional tech use,,,,,"August 21, 2023 10:21 AM",,No,,https://www.youtube.com/watch?v=SyQcrBhsXUM&type=snipo,,,To Learn,,1,,00:05:30
How I structure my Obsidian vault (Obsidian tour),,,,,"August 21, 2023 10:43 AM",,No,,https://www.youtube.com/watch?v=vAwS-js2iB0&type=snipo,,,To Learn,,1,,00:19:45
Expressionism (https://www.notion.so/Expressionism-b29d8194464b4e1097367d9ffb89fc80?pvs=21) in 8 Minutes: The Most Disturbing Art Ever? 😱,,,,,"August 22, 2023 10:06 AM",,No,,https://www.youtube.com/watch?v=YnsRLQ4A0hc&type=snipo,,,To Learn,,1,,00:08:20
Örümcek Ağı: İngiltere'nin İkinci İmparatorluğu (Belgesel),,,,,"August 22, 2023 10:58 AM",,No,,https://www.youtube.com/watch?v=np_ylvc8Zj8&type=snipo,,,To Learn,,1,,01:18:01
"Bir Yönetişim Meselesi: Kriz Yönetimi | Limboda Bölüm: 3 - Mert Fırat, Dr. Ali Ercan Özgür",,,,,"August 23, 2023 12:24 PM",,No,,https://www.youtube.com/watch?v=hLr8KBfH6IY&type=snipo,,,To Learn,,1,,00:41:49
