Title,Chapter,Finished,Link,Note,Sequential,Status,Tags,Total Videos,Video Duration,my organized
002 - Introduction to this class,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/mIfY1/introduction-to-this-class?v=introduction-to-medical-software/lecture/mIfY1/introduction-to-this-class&list=introduction-to-medical-software&type=snipo,,Overview,To Learn,,1,00:11:44,
001 - Getting Started,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/jlh9y/getting-started?v=introduction-to-medical-software/supplement/jlh9y/getting-started&list=introduction-to-medical-software&type=snipo,,Overview,To Learn,,1,00:10:00,
003 - A guided tour of medical software,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/5kXV8/a-guided-tour-of-medical-software?v=introduction-to-medical-software/lecture/5kXV8/a-guided-tour-of-medical-software&list=introduction-to-medical-software&type=snipo,,Overview,To Learn,,1,00:11:48,
015 - The Dalkon Shield Disaster,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/sN8qx/the-dalkon-shield-disaster?v=introduction-to-medical-software/supplement/sN8qx/the-dalkon-shield-disaster&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:30:00,
012 - Quiz 1,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/exam/IniRT/quiz-1?v=introduction-to-medical-software/exam/IniRT/quiz-1&list=introduction-to-medical-software&type=snipo,,Week 1 Quiz,To Learn,,1,00:30:00,
051 - The IGNS Example Project,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/DExPS/the-igns-example-project?v=introduction-to-medical-software/lecture/DExPS/the-igns-example-project&list=introduction-to-medical-software&type=snipo,,The Example Project and a Guided Tour of the Process,To Learn,,1,00:06:35,
018 - General Principles of Software Validation,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/ZeRta/general-principles-of-software-validation?v=introduction-to-medical-software/lecture/ZeRta/general-principles-of-software-validation&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:15:38,
017 - FDA Quality System Regulation,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/NvD4C/fda-quality-system-regulation?v=introduction-to-medical-software/supplement/NvD4C/fda-quality-system-regulation&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:10:00,
013 - The FDA: Mission and History,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/eLErR/the-fda-mission-and-history?v=introduction-to-medical-software/lecture/eLErR/the-fda-mission-and-history&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:15:00,
"011 - US Healthcare from a Global Perspective, 2019",Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/tZ0B0/us-healthcare-from-a-global-perspective-2019?v=introduction-to-medical-software/supplement/tZ0B0/us-healthcare-from-a-global-perspective-2019&list=introduction-to-medical-software&type=snipo,,The Digital Transformation of Healthcare (Dr. Gregory Licholai),To Learn,,1,00:30:00,
035 - Framework for Improving Critical Infrastructure Cybersecurity,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/7bA3U/framework-for-improving-critical-infrastructure-cybersecurity?v=introduction-to-medical-software/supplement/7bA3U/framework-for-improving-critical-infrastructure-cybersecurity&list=introduction-to-medical-software&type=snipo,,Cybersecurity and Data Privacy,To Learn,,1,00:30:00,
030 - Clinical IT II – Medical Imaging,"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/KiLQk/clinical-it-ii-medical-imaging?v=introduction-to-medical-software/lecture/KiLQk/clinical-it-ii-medical-imaging&list=introduction-to-medical-software&type=snipo,,The Clinical Environment,To Learn,,1,00:09:07,
019 - FDA General Principles of Software Validation,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/CtYFG/fda-general-principles-of-software-validation?v=introduction-to-medical-software/supplement/CtYFG/fda-general-principles-of-software-validation&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:10:00,
024 - FDA Draft Guidance on AI/ML,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/MsFWc/fda-draft-guidance-on-ai-ml?v=introduction-to-medical-software/supplement/MsFWc/fda-draft-guidance-on-ai-ml&list=introduction-to-medical-software&type=snipo,,Contemporary Guidance and Regulatory Processes,To Learn,,1,00:10:00,
025 - Quiz 2,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/exam/9iOwB/quiz-2?v=introduction-to-medical-software/exam/9iOwB/quiz-2&list=introduction-to-medical-software&type=snipo,,Week 2 Quiz,To Learn,,1,00:30:00,
027 - Clinical Information Technology (IT),"The Healthcare Environment (EHR, PACS, Data Privacy, and Cybersecurity)",No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/DlLUt/clinical-information-technology-it?v=introduction-to-medical-software/lecture/DlLUt/clinical-information-technology-it&list=introduction-to-medical-software&type=snipo,,The Clinical Environment,To Learn,,1,00:05:34,
038 - Quality Management Systems,Quality and Risk Management,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/dKVza/quality-management-systems?v=introduction-to-medical-software/lecture/dKVza/quality-management-systems&list=introduction-to-medical-software&type=snipo,,Quality Management Systems,To Learn,,1,00:09:23,
041 - Software as a Medical Device (SaMD): Application of Quality Management System,Quality and Risk Management,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/TxDpk/software-as-a-medical-device-samd-application-of-quality-management-system?v=introduction-to-medical-software/supplement/TxDpk/software-as-a-medical-device-samd-application-of-quality-management-system&list=introduction-to-medical-software&type=snipo,,Quality Management Systems,To Learn,,1,00:30:00,
047 - Life Cycles and IEC 62304,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/ho1Dg/life-cycles-and-iec-62304?v=introduction-to-medical-software/lecture/ho1Dg/life-cycles-and-iec-62304&list=introduction-to-medical-software&type=snipo,,Life Cycles and the IEC 62304 Standard,To Learn,,1,00:11:44,
016 - The Quality System Regulation,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/0EIZ6/the-quality-system-regulation?v=introduction-to-medical-software/lecture/0EIZ6/the-quality-system-regulation&list=introduction-to-medical-software&type=snipo,,FDA History and Original Regulations,To Learn,,1,00:08:51,
020 - The IMDRF SaMD documents,Medical Software Regulation (FDA and IMDRF),No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/ploHm/the-imdrf-samd-documents?v=introduction-to-medical-software/lecture/ploHm/the-imdrf-samd-documents&list=introduction-to-medical-software&type=snipo,,Contemporary Guidance and Regulatory Processes,To Learn,,1,00:09:05,
049 - Software Life Cycles,Software Development Life Cycle,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/8uoAY/software-life-cycles?v=introduction-to-medical-software/supplement/8uoAY/software-life-cycles&list=introduction-to-medical-software&type=snipo,,Life Cycles and the IEC 62304 Standard,To Learn,,1,00:10:00,
010 - National Health Expenditure Accounts,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/supplement/vF4h5/national-health-expenditure-accounts?v=introduction-to-medical-software/supplement/vF4h5/national-health-expenditure-accounts&list=introduction-to-medical-software&type=snipo,,The Digital Transformation of Healthcare (Dr. Gregory Licholai),To Learn,,1,00:30:00,
008 - Why is healthcare so expensive?,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/OMzuq/why-is-healthcare-so-expensive?v=introduction-to-medical-software/lecture/OMzuq/why-is-healthcare-so-expensive&list=introduction-to-medical-software&type=snipo,,The Digital Transformation of Healthcare (Dr. Gregory Licholai),To Learn,,1,00:03:48,
009 - Promise of the digital transformation of healthcare,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/8xfCb/promise-of-the-digital-transformation-of-healthcare?v=introduction-to-medical-software/lecture/8xfCb/promise-of-the-digital-transformation-of-healthcare&list=introduction-to-medical-software&type=snipo,,The Digital Transformation of Healthcare (Dr. Gregory Licholai),To Learn,,1,00:08:49,
040 - The IMDRF QMS Guidance – Continued,Quality and Risk Management,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/sMOwt/the-imdrf-qms-guidance-continued?v=introduction-to-medical-software/lecture/sMOwt/the-imdrf-qms-guidance-continued&list=introduction-to-medical-software&type=snipo,,Quality Management Systems,To Learn,,1,00:08:27,
007 - U.S. healthcare landscape overview,Introduction to Medical Software and Digital Health,No,https://www.coursera.org/learn/introduction-to-medical-software/lecture/CXr5v/u-s-healthcare-landscape-overview?v=introduction-to-medical-software/lecture/CXr5v/u-s-healthcare-landscape-overview&list=introduction-to-medical-software&type=snipo,,The Digital Transformation of Healthcare (Dr. Gregory Licholai),To Learn,,1,00:02:40,
